,KahunaIndex
KZ Okpala,0.13
Michael Carter-Williams,0.13
T.J. Warren,0.13
Karl-Anthony Towns,0.12
Boban Marjanovic,0.12
Brandon Clarke,0.12
T.J. McConnell,0.12
Zion Williamson,0.11
DeAndre' Bembry,0.1
Dennis Smith Jr.,0.1
E'Twaun Moore,0.1
Chimezie Metu,0.09
Dante Exum,0.09
Dwight Howard,0.09
Kyle Guy,0.09
Patrick Patterson,0.08
Jarrell Brantley,0.08
Juwan Morgan,0.07
Willie Cauley-Stein,0.07
Tristan Thompson,0.07
Dwight Powell,0.07
Jalen McDaniels,0.07
John Konchar,0.07
Harry Giles III,0.07
Rodions Kurucs,0.07
Rodney McGruder,0.07
Jordan Bell,0.06
Mason Plumlee,0.06
Jahlil Okafor,0.06
Marquese Chriss,0.06
Vlatko Cancar,0.06
Luka Samanic,0.06
Keita Bates-Diop,0.06
Kevon Looney,0.06
Luke Kornet,0.05
Bruno Caboclo,0.05
Frank Mason,0.05
Adam Mokoka,0.05
Bam Adebayo,0.04
Bol Bol,0.04
Cody Martin,0.04
Jalen Lecque,0.04
Maurice Harkless,0.04
Jarrett Allen,0.03
Spencer Dinwiddie,0.03
Thon Maker,0.03
Chris Silva,0.02
Anzejs Pasecniks,0.02
Alfonzo McKinnie,0.02
Terrance Ferguson,0.02
Khem Birch,0.02
Jared Dudley,0.02
Justin James,0.02
Robin Lopez,0.02
Ivica Zubac,0.02
Hassan Whiteside,0.01
Willy Hernangomez,0.01
Tim Frazier,0.01
Ben Simmons,0.01
Nerlens Noel,0.01
Jared Harper,0.0
Bruno Fernando,0.0
Shaquille Harrison,0.0
Bruce Brown,0.0
Vincent Poirier,0.0
Norvel Pelle,0.0
Brian Bowen II,0.0
Jarred Vanderbilt,0.0
Wenyen Gabriel,0.0
Jaxson Hayes,0.0
Quinndary Weatherspoon,0.0
Kostas Antetokounmpo,0.0
Rudy Gobert,0.0
Bismack Biyombo,0.0
Clint Capela,0.0
Moses Brown,0.0
Devontae Cacok,0.0
Enes Kanter,0.0
Ed Davis,0.0
Ignas Brazdeikis,0.0
Taj Gibson,0.0
Tacko Fall,0.0
Isaiah Hartenstein,0.0
Derrick Favors,0.0
Cristiano Felicio,0.0
JaKarr Sampson,0.0
Jakob Poeltl,0.0
Tony Bradley,0.0
DeAndre Jordan,0.0
Mitchell Robinson,0.0
Daniel Gafford,0.0
Drew Eubanks,0.0
